"symbol","security","sec_filings","gics_sector","gics_sub_industry","city","state","in_usa"
"A","Agilent Technologies Inc","reports","Health Care","Health Care Equipment","Santa Clara","California",1
"AAL","American Airlines Group","reports","Industrials","Airlines","Fort Worth","Texas",1
"AAP","Advance Auto Parts","reports","Consumer Discretionary","Automotive Retail","Roanoke","Virginia",1
"AAPL","Apple Inc.","reports","Information Technology","Computer Hardware","Cupertino","California",1
"ABBV","AbbVie","reports","Health Care","Pharmaceuticals","North Chicago","Illinois",1
"ABC","AmerisourceBergen Corp","reports","Health Care","Health Care Distributors","Chesterbrook","Pennsylvania",1
"ABT","Abbott Laboratories","reports","Health Care","Health Care Equipment","North Chicago","Illinois",1
"ACN","Accenture plc","reports","Information Technology","IT Consulting & Other Services","Dublin","Ireland",0
"ADBE","Adobe Systems Inc","reports","Information Technology","Application Software","San Jose","California",1
"ADI","Analog Devices, Inc.","reports","Information Technology","Semiconductors","Norwood","Massachusetts",1
"ADM","Archer-Daniels-Midland Co","reports","Consumer Staples","Agricultural Products","Decatur","Illinois",1
"ADP","Automatic Data Processing","reports","Information Technology","Internet Software & Services","Roseland","New Jersey",1
"ADS","Alliance Data Systems","reports","Information Technology","Data Processing & Outsourced Services","Plano","Texas",1
"ADSK","Autodesk Inc","reports","Information Technology","Application Software","San Rafael","California",1
"AEE","Ameren Corp","reports","Utilities","MultiUtilities","St. Louis","Missouri",1
"AEP","American Electric Power","reports","Utilities","Electric Utilities","Columbus","Ohio",1
"AES","AES Corp","reports","Utilities","Independent Power Producers & Energy Traders","Arlington","Virginia",1
"AET","Aetna Inc","reports","Health Care","Managed Health Care","Hartford","Connecticut",1
"AFL","AFLAC Inc","reports","Financials","Life & Health Insurance","Columbus","Georgia",1
"AGN","Allergan, Plc","reports","Health Care","Pharmaceuticals","Dublin","Ireland",0
"AIG","American International Group, Inc.","reports","Financials","Property & Casualty Insurance","New York","New York",1
"AIV","Apartment Investment & Mgmt","reports","Real Estate","REITs","Denver","Colorado",1
"AIZ","Assurant Inc","reports","Financials","Multi-line Insurance","New York","New York",1
"AJG","Arthur J. Gallagher & Co.","reports","Financials","Insurance Brokers","Itasca","Illinois",1
"AKAM","Akamai Technologies Inc","reports","Information Technology","Internet Software & Services","Cambridge","Massachusetts",1
"ALB","Albemarle Corp","reports","Materials","Specialty Chemicals","Baton Rouge","Louisiana",1
"ALK","Alaska Air Group Inc","reports","Industrials","Airlines","Seattle","Washington",1
"ALL","Allstate Corp","reports","Financials","Property & Casualty Insurance","Northfield Township","Illinois",1
"ALLE","Allegion","reports","Industrials","Building Products","Dublin","Ireland",0
"ALXN","Alexion Pharmaceuticals","reports","Health Care","Biotechnology","Cheshire","Connecticut",1
"AMAT","Applied Materials Inc","reports","Information Technology","Semiconductor Equipment","Santa Clara","California",1
"AME","AMETEK Inc","reports","Industrials","Electrical Components & Equipment","Berwyn","Pennsylvania",1
"AMG","Affiliated Managers Group Inc","reports","Financials","Asset Management & Custody Banks","Beverly","Massachusetts",1
"AMGN","Amgen Inc","reports","Health Care","Biotechnology","Thousand Oaks","California",1
"AMP","Ameriprise Financial","reports","Financials","Asset Management & Custody Banks","Minneapolis","Minnesota",1
"AMT","American Tower Corp A","reports","Real Estate","Specialized REITs","Boston","Massachusetts",1
"AMZN","Amazon.com Inc","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle","Washington",1
"AN","AutoNation Inc","reports","Consumer Discretionary","Specialty Stores","Fort Lauderdale","Florida",1
"ANTM","Anthem Inc.","reports","Health Care","Managed Health Care","Indianapolis","Indiana",1
"AON","Aon plc","reports","Financials","Insurance Brokers","London","United Kingdom",0
"APA","Apache Corporation","reports","Energy","Oil & Gas Exploration & Production","Houston","Texas",1
"APC","Anadarko Petroleum Corp","reports","Energy","Oil & Gas Exploration & Production","The Woodlands","Texas",1
"APD","Air Products & Chemicals Inc","reports","Materials","Industrial Gases","Allentown","Pennsylvania",1
"APH","Amphenol Corp","reports","Information Technology","Electronic Components","Wallingford","Connecticut",1
"ARNC","Arconic Inc","reports","Industrials","Aerospace & Defense","New York","New York",1
"ATVI","Activision Blizzard","reports","Information Technology","Home Entertainment Software","Santa Monica","California",1
"AVB","AvalonBay Communities, Inc.","reports","Real Estate","Residential REITs","Arlington","Virginia",1
"AVGO","Broadcom","reports","Information Technology","Semiconductors","San Jose","California",1
"AVY","Avery Dennison Corp","reports","Materials","Paper Packaging","Glendale","California",1
"AWK","American Water Works Company Inc","reports","Utilities","Water Utilities","Voorhees","New Jersey",1
"AXP","American Express Co","reports","Financials","Consumer Finance","New York","New York",1
"AYI","Acuity Brands Inc","reports","Industrials","Electrical Components & Equipment","Atlanta","Georgia",1
"AZO","AutoZone Inc","reports","Consumer Discretionary","Specialty Stores","Memphis","Tennessee",1
"BA","Boeing Company","reports","Industrials","Aerospace & Defense","Chicago","Illinois",1
"BAC","Bank of America Corp","reports","Financials","Banks","Charlotte","North Carolina",1
"BAX","Baxter International Inc.","reports","Health Care","Health Care Equipment","Deerfield","Illinois",1
"BBBY","Bed Bath & Beyond","reports","Consumer Discretionary","Specialty Stores","Union","New Jersey",1
"BBT","BB&T Corporation","reports","Financials","Banks","Winston-Salem","North Carolina",1
"BBY","Best Buy Co. Inc.","reports","Consumer Discretionary","Computer & Electronics Retail","Richfield","Minnesota",1
"BCR","Bard (C.R.) Inc.","reports","Health Care","Health Care Equipment","Murray Hill","New Jersey",1
"BDX","Becton Dickinson","reports","Health Care","Health Care Equipment","Franklin Lakes","New Jersey",1
"BEN","Franklin Resources","reports","Financials","Asset Management & Custody Banks","San Mateo","California",1
"BHI","Baker Hughes Inc","reports","Energy","Oil & Gas Equipment & Services","Houston","Texas",1
"BIIB","BIOGEN IDEC Inc.","reports","Health Care","Biotechnology","Weston","Massachusetts",1
"BK","The Bank of New York Mellon Corp.","reports","Financials","Banks","New York","New York",1
"BLK","BlackRock","reports","Financials","Asset Management & Custody Banks","New York","New York",1
"BLL","Ball Corp","reports","Materials","Metal & Glass Containers","Broomfield","Colorado",1
"BMY","Bristol-Myers Squibb","reports","Health Care","Health Care Distributors","New York","New York",1
"BSX","Boston Scientific","reports","Health Care","Health Care Equipment","Marlborough","Massachusetts",1
"BWA","BorgWarner","reports","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills","Michigan",1
"BXP","Boston Properties","reports","Real Estate","REITs","Boston","Massachusetts",1
"C","Citigroup Inc.","reports","Financials","Banks","New York","New York",1
"CA","CA, Inc.","reports","Information Technology","Systems Software","Islandia","New York",1
"CAG","ConAgra Foods Inc.","reports","Consumer Staples","Packaged Foods & Meats","Omaha","Nebraska",1
"CAH","Cardinal Health Inc.","reports","Health Care","Health Care Distributors","Dublin","Ohio",1
"CAT","Caterpillar Inc.","reports","Industrials","Construction & Farm Machinery & Heavy Trucks","Peoria","Illinois",1
"CB","Chubb Limited","reports","Financials","Property & Casualty Insurance","Zurich","Switzerland",0
"CBG","CBRE Group","reports","Real Estate","Real Estate Services","Los Angeles","California",1
"CBS","CBS Corp.","reports","Consumer Discretionary","Broadcasting & Cable TV","New York","New York",1
"CCI","Crown Castle International Corp.","reports","Real Estate","REITs","Houston","Texas",1
"CCL","Carnival Corp.","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami","Florida",1
"CELG","Celgene Corp.","reports","Health Care","Biotechnology","Summit","New Jersey",1
"CERN","Cerner","reports","Health Care","Health Care Technology","North Kansas City","Missouri",1
"CF","CF Industries Holdings Inc","reports","Materials","Fertilizers & Agricultural Chemicals","Deerfield","Illinois",1
"CFG","Citizens Financial Group","reports","Financials","Regional Banks","Providence","Rhode Island",1
"CHD","Church & Dwight","reports","Consumer Staples","Household Products","Ewing","New Jersey",1
"CHK","Chesapeake Energy","reports","Energy","Integrated Oil & Gas","Oklahoma City","Oklahoma",1
"CHRW","C. H. Robinson Worldwide","reports","Industrials","Air Freight & Logistics","Eden Prairie","Minnesota",1
"CHTR","Charter Communications","reports","Consumer Discretionary","Cable & Satellite","Stamford","Connecticut",1
"CI","CIGNA Corp.","reports","Health Care","Managed Health Care","Philadelphia","Pennsylvania",1
"CINF","Cincinnati Financial","reports","Financials","Property & Casualty Insurance","Fairfield","Ohio",1
"CL","Colgate-Palmolive","reports","Consumer Staples","Household Products","New York","New York",1
"CLX","The Clorox Company","reports","Consumer Staples","Household Products","Oakland","California",1
"CMA","Comerica Inc.","reports","Financials","Regional Banks","Dallas","Texas",1
"CMCSA","Comcast A Corp","reports","Consumer Discretionary","Cable & Satellite","Philadelphia","Pennsylvania",1
"CME","CME Group Inc.","reports","Financials","Financial Exchanges & Data","Chicago","Illinois",1
"CMG","Chipotle Mexican Grill","reports","Consumer Discretionary","Restaurants","Denver","Colorado",1
"CMI","Cummins Inc.","reports","Industrials","Industrial Machinery","Columbus","Indiana",1
"CMS","CMS Energy","reports","Utilities","MultiUtilities","Jackson","Michigan",1
"CNC","Centene Corporation","reports","Health Care","Managed Health Care","St Louis","Missouri",1
"CNP","CenterPoint Energy","reports","Utilities","MultiUtilities","Houston","Texas",1
"COF","Capital One Financial","reports","Financials","Consumer Finance","Tysons Corner","Virginia",1
"COG","Cabot Oil & Gas","reports","Energy","Oil & Gas Exploration & Production","Houston","Texas",1
"COH","Coach Inc.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York",1
"COL","Rockwell Collins","reports","Industrials","Industrial Conglomerates","Cedar Rapids","Iowa",1
"COO","The Cooper Companies","reports","Health Care","Health Care Supplies","Pleasanton","California",1
"COP","ConocoPhillips","reports","Energy","Oil & Gas Exploration & Production","Houston","Texas",1
"COST","Costco Co.","reports","Consumer Staples","Hypermarkets & Super Centers","Issaquah","Washington",1
"COTY","Coty, Inc","reports","Consumer Staples","Personal Products","New York","NY",0
"CPB","Campbell Soup","reports","Consumer Staples","Packaged Foods & Meats","Camden","New Jersey",1
"CRM","Salesforce.com","reports","Information Technology","Internet Software & Services","San Francisco","California",1
"CSCO","Cisco Systems","reports","Information Technology","Networking Equipment","San Jose","California",1
"CSRA","CSRA Inc.","reports","Information Technology","IT Consulting & Other Services","Falls Church","Virginia",1
"CSX","CSX Corp.","reports","Industrials","Railroads","Jacksonville","Florida",1
"CTAS","Cintas Corporation","reports","Industrials","Diversified Support Services","Mason","Ohio",1
"CTL","CenturyLink Inc","reports","Telecommunications Services","Integrated Telecommunications Services","Monroe","Louisiana",1
"CTSH","Cognizant Technology Solutions","reports","Information Technology","IT Consulting & Other Services","Teaneck","New Jersey",1
"CTXS","Citrix Systems","reports","Information Technology","Internet Software & Services","Fort Lauderdale","Florida",1
